"日期","动画","番剧","国创","音乐","舞蹈","游戏","科技","生活","鬼畜","时尚","广告","娱乐","影视","放映厅"
"2009年06月26日",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009年06月26日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月27日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月27日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月28日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月28日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月29日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月29日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月30日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年06月30日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月01日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月01日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月02日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月02日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月03日",0,0,0,0,0,0,0,1483363,0,0,0,0,1569296,0
"2009年07月03日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月04日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月04日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月05日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月05日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月06日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月06日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月07日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月07日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月08日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月08日",0,0,0,0,0,594577,0,1483363,0,0,0,0,1569296,0
"2009年07月09日",0,0,0,0,0,775593,0,1483363,0,0,0,0,1569296,0
"2009年07月09日",0,0,0,212867,0,794663,0,1634248,432270,0,0,0,1569296,0
"2009年07月10日",0,0,0,212867,0,844047,0,1634248,432270,0,0,0,1569296,0
"2009年07月10日",0,0,0,212867,0,844047,0,1634248,432270,0,0,0,1569296,0
"2009年07月11日",0,0,0,212867,0,844047,0,1634248,432270,0,0,0,1569296,0
"2009年07月11日",0,0,0,212867,0,844047,0,1634248,432270,0,0,0,1569296,0
"2009年07月12日",0,0,0,212867,0,844047,0,1634248,432270,0,0,0,1569296,0
"2009年07月12日",0,0,0,240283,0,844047,0,2023428,432270,0,0,0,1569296,0
"2009年07月13日",0,0,0,261145,0,844047,0,2023428,432270,0,0,0,1569296,0
"2009年07月13日",112542,0,0,574611,0,893742,0,2224168,468160,0,0,0,1569296,0
"2009年07月14日",122696,0,0,689082,0,906834,0,2253227,601249,0,15402,0,1569296,0
